Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:47:39.734000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:47:40.161000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:47:40.261000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
19:47:40.273000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:47:40.34000019:47:40.364000   SCAN CMDConn:
 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:47:40.402000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
19:47:40.460000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:47:40.858000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:47:41.161000 Conn: 0001 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:47:41.458000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:47:42.166000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:47:42.256000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:47:42.361000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:47:42.460000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:47:43.362000 Conn: 0000 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:47:43.649000  SCAN CMD
19:47:43.666000 Conn: 0001 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:47:44.463000 Conn: 0001 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:47:44.564000 Conn: 0001 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:47:44.863000 Conn: 0000 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:47:45.159000 Conn: 0000 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:47:45.462000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:47:45.563000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:47:45.757000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:47:45.864000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
19:47:46.058000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
19:47:46.662000 Conn: 0000 Handle: 0001  Values: 0d00000000000000000000000000000000000700
19:47:46.923000  SCAN CMD
19:47:46.957000 Conn: 0000 Handle: 0003  Values: 0d00000000000000000000000000000000000400
19:47:47.071000 Conn: 0001 Handle: 0001  Values: 0d00000000000000000000000000000000000700
19:47:47.369000 Conn: 0001 Handle: 0003  Values: 0d00000000000000000000000000000000000400
19:47:47.555000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
19:47:47.666000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
19:47:47.856000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:47:48.267000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
19:47:48.463000 Conn: 0000 Handle: 0001  Values: 1000000000000000000000000000000000000900
19:47:48.565000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
19:47:48.773000 Conn: 0000 Handle: 0003  Values: 1000000000000000000000000000000000000500
