Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink15:10:56.303000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
15:10:56.796000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
15:10:56.898000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
15:10:56.996000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
15:10:57.501000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
15:10:57.604000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
15:10:57.705000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
15:10:58.128000  SCAN CMD
15:10:58.599000 Conn: 0000 Handle: 0005  Values: 0600000000000000000000000000000000000a00
15:10:58.698000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
15:10:58.799000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
15:10:59.602000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
15:10:59.701000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
15:11:02.900000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
15:11:03.003000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
15:11:03.901000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
15:11:04.002000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
15:11:04.906000 Conn: 0001 Handle: 0003  Values: 0b00000000000000000000000000000000000300
15:11:05.000000 Conn: 0000 Handle: 0003  Values: 0b00000000000000000000000000000000000300
15:11:05.902000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
15:11:05.995000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
15:11:06.904000 Conn: 0001 Handle: 0003  Values: 0e00000000000000000000000000000000000400
15:11:06.997000 Conn: 0000 Handle: 0003  Values: 0e00000000000000000000000000000000000400
15:11:07.449000  SCAN CMD
15:11:07.909000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
15:11:08.000000 Conn: 0000 Handle: 0001  Values: 1000000000000000000000000000000000000900
15:11:08.902000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
15:11:09.003000 Conn: 0000 Handle: 0003  Values: 1000000000000000000000000000000000000500
15:11:09.901000 Conn: 0001 Handle: 0001  Values: 1400000000000000000000000000000000000b00
15:11:10.003000 Conn: 0000 Handle: 0001  Values: 1400000000000000000000000000000000000b00
15:11:10.900000 Conn: 0001 Handle: 0002  Values: 1400000000000000000000000000000000000300
15:11:11.002000 Conn: 0000 Handle: 0002  Values: 1400000000000000000000000000000000000300
15:11:11.903000 Conn: 0001 Handle: 0003  Values: 1400000000000000000000000000000000000600
15:11:12.003000 Conn: 0000 Handle: 0003  Values: 1400000000000000000000000000000000000600
15:11:12.905000 Conn: 0001 Handle: 0001  Values: 1700000000000000000000000000000000000d00
15:11:12.999000 Conn: 0000 Handle: 0005  Values: 1800000000000000000000000000000000000a00
15:11:13.900000 Conn: 0001 Handle: 0003  Values: 1700000000000000000000000000000000000700
15:11:13.998000 Conn: 0000 Handle: 0001  Values: 1800000000000000000000000000000000000e00
15:11:14.900000 Conn: 0001 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
15:11:15.002000 Conn: 0000 Handle: 0003  Values: 1800000000000000000000000000000000000700
15:11:15.909000 Conn: 0001 Handle: 0003  Values: 1a00000000000000000000000000000000000800
15:11:16.003000 Conn: 0000 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
15:11:16.725000  SCAN CMD
15:11:16.901000 Conn: 0001 Handle: 0001  Values: 1e00000000000000000000000000000000001100
15:11:16.996000 Conn: 0000 Handle: 0003  Values: 1a00000000000000000000000000000000000800
15:11:17.907000 Conn: 0001 Handle: 0002  Values: 1e00000000000000000000000000000000000400
15:11:18.001000 Conn: 0000 Handle: 0001  Values: 1e00000000000000000000000000000000001100
15:11:18.906000 Conn: 0001 Handle: 0003  Values: 1e00000000000000000000000000000000000900
15:11:19.003000 Conn: 0000 Handle: 0002  Values: 1e00000000000000000000000000000000000400
15:11:19.904000 Conn: 0001 Handle: 0001  Values: 2100000000000000000000000000000000001300
15:11:20.000000 Conn: 0000 Handle: 0003  Values: 1e00000000000000000000000000000000000900
15:11:20.905000 Conn: 0001 Handle: 0003  Values: 2100000000000000000000000000000000000a00
15:11:20.994000 Conn: 0000 Handle: 0001  Values: 2100000000000000000000000000000000001300
15:11:21.905000 Conn: 0001 Handle: 0001  Values: 2200000000000000000000000000000000001400
15:11:22.000000 Conn: 0000 Handle: 0003  Values: 2100000000000000000000000000000000000a00
15:11:22.908000 Conn: 0001 Handle: 0001  Values: 2800000000000000000000000000000000001700
15:11:23.002000 Conn: 0000 Handle: 0001  Values: 2200000000000000000000000000000000001400
15:11:23.900000 Conn: 0001 Handle: 0002  Values: 2800000000000000000000000000000000000500
15:11:24.004000 Conn: 0000 Handle: 0001  Values: 2800000000000000000000000000000000001700
15:11:24.906000 Conn: 0001 Handle: 0003  Values: 2800000000000000000000000000000000000c00
15:11:25.004000 Conn: 0000 Handle: 0002  Values: 2800000000000000000000000000000000000500
15:11:25.908000 Conn: 0001 Handle: 0001  Values: 2900000000000000000000000000000000001800
15:11:26.00100015:11:26.003000   SCAN CMDConn:
 0000 Handle: 0003  Values: 2800000000000000000000000000000000000c00
15:11:26.910000 Conn: 0001 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
15:11:27.004000 Conn: 0000 Handle: 0005  Values: 2900000000000000000000000000000000000a00
15:11:27.908000 Conn: 0001 Handle: 0002  Values: 2d00000000000000000000000000000000000600
15:11:27.997000 Conn: 0000 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
15:11:28.910000 Conn: 0001 Handle: 0003  Values: 2d00000000000000000000000000000000000d00
15:11:29.004000 Conn: 0000 Handle: 0002  Values: 2d00000000000000000000000000000000000600
15:11:29.910000 Conn: 0001 Handle: 0001  Values: 3000000000000000000000000000000000001c00
15:11:30.009000 Conn: 0000 Handle: 0001  Values: 3000000000000000000000000000000000001c00
15:11:30.906000 Conn: 0001 Handle: 0003  Values: 3000000000000000000000000000000000000e00
15:11:31.005000 Conn: 0000 Handle: 0003  Values: 3000000000000000000000000000000000000e00
15:11:31.903000 Conn: 0001 Handle: 0001  Values: 3300000000000000000000000000000000001e00
15:11:32.005000 Conn: 0000 Handle: 0001  Values: 3300000000000000000000000000000000001e00
15:11:32.904000 Conn: 0001 Handle: 0003  Values: 3300000000000000000000000000000000000f00
15:11:32.998000 Conn: 0000 Handle: 0003  Values: 3300000000000000000000000000000000000f00
15:11:33.907000 Conn: 0001 Handle: 0001  Values: 3700000000000000000000000000000000002000
15:11:33.999000 Conn: 0000 Handle: 0001  Values: 3900000000000000000000000000000000002100
15:11:34.905000 Conn: 0001 Handle: 0002  Values: 3700000000000000000000000000000000000700
15:11:35.003000 Conn: 0000 Handle: 0002  Values: 3900000000000000000000000000000000000700
15:11:35.325000  SCAN CMD
15:11:35.901000 Conn: 0001 Handle: 0001  Values: 3a00000000000000000000000000000000002200
15:11:36.002000 Conn: 0000 Handle: 0003  Values: 3900000000000000000000000000000000001100
15:11:36.901000 Conn: 0001 Handle: 0003  Values: 3a00000000000000000000000000000000001100
15:11:37.004000 Conn: 0000 Handle: 0005  Values: 3a00000000000000000000000000000000000a00
15:11:37.904000 Conn: 0001 Handle: 0001  Values: 3c00000000000000000000000000000000002300
15:11:38.004000 Conn: 0000 Handle: 0001  Values: 3c00000000000000000000000000000000002300
15:11:38.901000 Conn: 0001 Handle: 0001  Values: 4000000000000000000000000000000000002500
15:11:39.005000 Conn: 0000 Handle: 0001  Values: 4000000000000000000000000000000000002500
15:11:39.902000 Conn: 0001 Handle: 0002  Values: 4000000000000000000000000000000000000800
15:11:39.997000 Conn: 0000 Handle: 0002  Values: 4000000000000000000000000000000000000800
15:11:40.909000 Conn: 0001 Handle: 0001  Values: 4300000000000000000000000000000000002700
15:11:40.999000 Conn: 0000 Handle: 0001  Values: 4300000000000000000000000000000000002700
15:11:41.904000 Conn: 0001 Handle: 0003  Values: 4300000000000000000000000000000000001400
15:11:41.997000 Conn: 0000 Handle: 0003  Values: 4300000000000000000000000000000000001400
15:11:42.910000 Conn: 0001 Handle: 0001  Values: 4700000000000000000000000000000000002900
15:11:43.005000 Conn: 0000 Handle: 0001  Values: 4800000000000000000000000000000000002a00
15:11:43.911000 Conn: 0001 Handle: 0002  Values: 4700000000000000000000000000000000000900
15:11:43.996000 Conn: 0000 Handle: 0002  Values: 4800000000000000000000000000000000000900
15:11:44.602000  SCAN CMD
15:11:44.903000 Conn: 0001 Handle: 0001  Values: 4a00000000000000000000000000000000002b00
15:11:44.998000 Conn: 0000 Handle: 0003  Values: 4800000000000000000000000000000000001500
15:11:45.903000 Conn: 0001 Handle: 0003  Values: 4a00000000000000000000000000000000001600
15:11:46.001000 Conn: 0000 Handle: 0005  Values: 4a00000000000000000000000000000000000a00
15:11:46.907000 Conn: 0001 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
15:11:47.005000 Conn: 0000 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
15:11:47.905000 Conn: 0001 Handle: 0003  Values: 4d00000000000000000000000000000000001700
15:11:47.997000 Conn: 0000 Handle: 0003  Values: 4d00000000000000000000000000000000001700
15:11:48.908000 Conn: 0001 Handle: 0001  Values: 5100000000000000000000000000000000002f00
15:11:49.007000 Conn: 0000 Handle: 0001  Values: 5100000000000000000000000000000000002f00
15:11:49.910000 Conn: 0001 Handle: 0002  Values: 5100000000000000000000000000000000000a00
15:11:50.006000 Conn: 0000 Handle: 0002  Values: 5100000000000000000000000000000000000a00
15:11:50.902000 Conn: 0001 Handle: 0001  Values: 5200000000000000000000000000000000003000
15:11:51.005000 Conn: 0000 Handle: 0001  Values: 5200000000000000000000000000000000003000
15:11:51.904000 Conn: 0001 Handle: 0001  Values: 5500000000000000000000000000000000003200
15:11:52.005000 Conn: 0000 Handle: 0005  Values: 5800000000000000000000000000000000000a00
15:11:52.907000 Conn: 0001 Handle: 0003  Values: 5500000000000000000000000000000000001900
15:11:52.997000 Conn: 0000 Handle: 0001  Values: 5800000000000000000000000000000000003300
15:11:53.905000 15:11:53.911000Conn:   SCAN CMD0001
 Handle: 0001  Values: 5900000000000000000000000000000000003400
15:11:54.004000 Conn: 0000 Handle: 0002  Values: 5800000000000000000000000000000000000b00
15:11:54.906000 Conn: 0001 Handle: 0002  Values: 5900000000000000000000000000000000000b00
15:11:54.998000 Conn: 0000 Handle: 0001  Values: 5900000000000000000000000000000000003400
15:11:55.911000 Conn: 0001 Handle: 0001  Values: 5c00000000000000000000000000000000003600
15:11:55.996000 Conn: 0000 Handle: 0001  Values: 5c00000000000000000000000000000000003600
15:11:56.902000 Conn: 0001 Handle: 0003  Values: 5c00000000000000000000000000000000001b00
15:11:57.004000 Conn: 0000 Handle: 0003  Values: 5c00000000000000000000000000000000001b00
15:11:57.902000 Conn: 0001 Handle: 0001  Values: 6000000000000000000000000000000000003800
15:11:58.000000 Conn: 0000 Handle: 0001  Values: 6000000000000000000000000000000000003800
15:11:58.909000 Conn: 0001 Handle: 0002  Values: 6000000000000000000000000000000000000c00
15:11:58.997000 Conn: 0000 Handle: 0002  Values: 6000000000000000000000000000000000000c00
15:11:59.908000 Conn: 0001 Handle: 0001  Values: 6300000000000000000000000000000000003a00
15:12:00.005000 Conn: 0000 Handle: 0001  Values: 6300000000000000000000000000000000003a00
15:12:00.904000 Conn: 0001 Handle: 0003  Values: 6300000000000000000000000000000000001d00
15:12:00.998000 Conn: 0000 Handle: 0003  Values: 6300000000000000000000000000000000001d00
15:12:01.909000 Conn: 0001 Handle: 0001  Values: 6600000000000000000000000000000000003c00
15:12:02.006000 Conn: 0000 Handle: 0001  Values: 6600000000000000000000000000000000003c00
15:12:02.912000 Conn: 0001 Handle: 0003  Values: 6600000000000000000000000000000000001e00
15:12:03.013000 Conn: 0000 Handle: 0003  Values: 6600000000000000000000000000000000001e00
15:12:03.189000  SCAN CMD
15:12:03.906000 Conn: 0001 Handle: 0001  Values: 6900000000000000000000000000000000003d00
15:12:04.008000 Conn: 0000 Handle: 0005  Values: 6900000000000000000000000000000000000a00
15:12:04.906000 Conn: 0001 Handle: 0001  Values: 6c00000000000000000000000000000000003f00
15:12:05.007000 Conn: 0000 Handle: 0001  Values: 6c00000000000000000000000000000000003f00
15:12:05.912000 Conn: 0001 Handle: 0003  Values: 6c00000000000000000000000000000000002000
15:12:06.011000 Conn: 0000 Handle: 0003  Values: 6c00000000000000000000000000000000002000
15:12:06.904000 Conn: 0001 Handle: 0001  Values: 6f00000000000000000000000000000000004100
15:12:07.002000 Conn: 0000 Handle: 0001  Values: 6f00000000000000000000000000000000004100
15:12:07.909000 Conn: 0001 Handle: 0003  Values: 6f00000000000000000000000000000000002100
15:12:08.004000 Conn: 0000 Handle: 0003  Values: 6f00000000000000000000000000000000002100
15:12:08.903000 Conn: 0001 Handle: 0001  Values: 7300000000000000000000000000000000004300
15:12:09.002000 Conn: 0000 Handle: 0001  Values: 7300000000000000000000000000000000004300
15:12:09.903000 Conn: 0001 Handle: 0002  Values: 7300000000000000000000000000000000000e00
15:12:10.001000 Conn: 0000 Handle: 0002  Values: 7300000000000000000000000000000000000e00
15:12:10.904000 Conn: 0001 Handle: 0001  Values: 7600000000000000000000000000000000004500
15:12:10.998000 Conn: 0000 Handle: 0001  Values: 7700000000000000000000000000000000004600
15:12:11.904000 Conn: 0001 Handle: 0003  Values: 7600000000000000000000000000000000002300
15:12:12.005000 Conn: 0000 Handle: 0003  Values: 7700000000000000000000000000000000002300
15:12:12.463000  SCAN CMD
15:12:12.912000 Conn: 0001 Handle: 0001  Values: 7a00000000000000000000000000000000004700
15:12:13.002000 Conn: 0000 Handle: 0005  Values: 7a00000000000000000000000000000000000a00
15:12:13.910000 Conn: 0001 Handle: 0002  Values: 7a00000000000000000000000000000000000f00
15:12:14.005000 Conn: 0000 Handle: 0001  Values: 7a00000000000000000000000000000000004700
15:12:14.912000 Conn: 0001 Handle: 0001  Values: 7d00000000000000000000000000000000004900
15:12:15.003000 Conn: 0000 Handle: 0001  Values: 7d00000000000000000000000000000000004900
15:12:15.911000 Conn: 0001 Handle: 0003  Values: 7d00000000000000000000000000000000002500
15:12:16.001000 Conn: 0000 Handle: 0003  Values: 7d00000000000000000000000000000000002500
15:12:16.912000 Conn: 0001 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
15:12:17.007000 Conn: 0000 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
15:12:17.908000 Conn: 0001 Handle: 0001  Values: 8200000000000000000000000000000000004c00
15:12:18.006000 Conn: 0000 Handle: 0001  Values: 8200000000000000000000000000000000004c00
15:12:18.906000 Conn: 0001 Handle: 0002  Values: 8200000000000000000000000000000000001000
15:12:19.008000 Conn: 0000 Handle: 0002  Values: 8200000000000000000000000000000000001000
15:12:19.910000 Conn: 0001 Handle: 0001  Values: 8500000000000000000000000000000000004e00
15:12:20.005000 Conn: 0000 Handle: 0001  Values: 8700000000000000000000000000000000004f00
15:12:20.913000 Conn: 0001 Handle: 0003  Values: 8500000000000000000000000000000000002700
15:12:21.004000 Conn: 0000 Handle: 0003  Values: 8700000000000000000000000000000000002800
15:12:21.738000  SCAN CMD
15:12:21.913000 Conn: 0001 Handle: 0001  Values: 8800000000000000000000000000000000005000
15:12:22.002000 Conn: 0000 Handle: 0005  Values: 8800000000000000000000000000000000000a00
15:12:22.912000 Conn: 0001 Handle: 0003  Values: 8800000000000000000000000000000000002800
15:12:23.011000 Conn: 0000 Handle: 0001  Values: 8800000000000000000000000000000000005000
15:12:23.907000 Conn: 0001 Handle: 0001  Values: 8c00000000000000000000000000000000005200
15:12:24.005000 Conn: 0000 Handle: 0001  Values: 8c00000000000000000000000000000000005200
15:12:24.906000 Conn: 0001 Handle: 0002  Values: 8c00000000000000000000000000000000001100
15:12:25.008000 Conn: 0000 Handle: 0002  Values: 8c00000000000000000000000000000000001100
15:12:25.908000 Conn: 0001 Handle: 0001  Values: 8f00000000000000000000000000000000005400
15:12:26.005000 Conn: 0000 Handle: 0001  Values: 8f00000000000000000000000000000000005400
15:12:26.912000 Conn: 0001 Handle: 0003  Values: 8f00000000000000000000000000000000002a00
15:12:27.011000 Conn: 0000 Handle: 0003  Values: 8f00000000000000000000000000000000002a00
15:12:27.913000 Conn: 0001 Handle: 0001  Values: 9100000000000000000000000000000000005500
15:12:27.999000 Conn: 0000 Handle: 0001  Values: 9100000000000000000000000000000000005500
15:12:28.910000 Conn: 0001 Handle: 0001  Values: 9600000000000000000000000000000000005800
15:12:29.006000 Conn: 0000 Handle: 0001  Values: 9600000000000000000000000000000000005800
15:12:29.906000 Conn: 0001 Handle: 0002  Values: 9600000000000000000000000000000000001200
15:12:30.001000 Conn: 0000 Handle: 0002  Values: 9600000000000000000000000000000000001200
15:12:30.913000 Conn: 0001 Handle: 0003  Values: 9600000000000000000000000000000000002c00
15:12:31.014000 Conn: 0000 Handle: 000315:12:31.035000   Values: SCAN CMD 
9600000000000000000000000000000000002c00
15:12:31.911000 Conn: 0001 Handle: 0001  Values: 9800000000000000000000000000000000005900
15:12:32.001000 Conn: 0000 Handle: 0005  Values: 9800000000000000000000000000000000000a00
15:12:32.910000 Conn: 0001 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
15:12:33.009000 Conn: 0000 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
15:12:33.907000 Conn: 0001 Handle: 0002  Values: 9c00000000000000000000000000000000001300
15:12:34.001000 Conn: 0000 Handle: 0002  Values: 9c00000000000000000000000000000000001300
15:12:34.912000 Conn: 0001 Handle: 0001  Values: 9f00000000000000000000000000000000005d00
