Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:03:24.029000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
17:03:24.129000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
17:03:24.237000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
17:03:24.837000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
17:03:24.935000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
17:03:25.033000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
17:03:25.580000  SCAN CMD
17:03:26.035000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
17:03:26.134000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
17:03:26.838000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
17:03:26.940000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
17:03:29.834000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
17:03:30.133000 Conn: 0000 Handle: 0005  Values: 0b00000000000000000000000000000000000a00
17:03:30.839000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
17:03:31.133000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
17:03:31.835000 Conn: 0001 Handle: 0003  Values: 0b00000000000000000000000000000000000300
17:03:32.133000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
17:03:32.840000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
17:03:33.133000 Conn: 0000 Handle: 0003  Values: 0b00000000000000000000000000000000000300
17:03:33.838000 Conn: 0001 Handle: 0003  Values: 0e00000000000000000000000000000000000400
17:03:34.137000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
17:03:34.842000 Conn: 0001 Handle: 0001  Values: 1100000000000000000000000000000000000a00
17:03:35.133000 Conn: 0000 Handle: 0003  Values: 0e00000000000000000000000000000000000400
17:03:35.650000  SCAN CMD
17:03:35.838000 Conn: 0001 Handle: 0003  Values: 1100000000000000000000000000000000000500
17:03:36.135000 Conn: 0000 Handle: 0001  Values: 1100000000000000000000000000000000000a00
17:03:36.835000 Conn: 0001 Handle: 0001  Values: 1500000000000000000000000000000000000c00
17:03:37.132000 Conn: 0000 Handle: 0003  Values: 1100000000000000000000000000000000000500
17:03:37.835000 Conn: 0001 Handle: 0002  Values: 1500000000000000000000000000000000000300
17:03:38.132000 Conn: 0000 Handle: 0001  Values: 1500000000000000000000000000000000000c00
17:03:38.838000 Conn: 0001 Handle: 0003  Values: 1500000000000000000000000000000000000600
17:03:39.138000 Conn: 0000 Handle: 0002  Values: 1500000000000000000000000000000000000300
17:03:39.842000 Conn: 0001 Handle: 0001  Values: 1800000000000000000000000000000000000e00
17:03:40.136000 Conn: 0000 Handle: 0003  Values: 1500000000000000000000000000000000000600
17:03:40.842000 Conn: 0001 Handle: 0003  Values: 1800000000000000000000000000000000000700
17:03:41.133000 Conn: 0000 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
17:03:41.834000 Conn: 0001 Handle: 0001  Values: 1c00000000000000000000000000000000001000
17:03:42.130000 Conn: 0000 Handle: 0003  Values: 1a00000000000000000000000000000000000800
17:03:42.834000 Conn: 0001 Handle: 0002  Values: 1c00000000000000000000000000000000000400
17:03:43.139000 Conn: 0000 Handle: 0005  Values: 1c00000000000000000000000000000000000a00
17:03:43.841000 Conn: 0001 Handle: 0003  Values: 1c00000000000000000000000000000000000800
17:03:44.131000 Conn: 0000 Handle: 0001  Values: 1c00000000000000000000000000000000001000
17:03:44.841000 Conn: 0001 Handle: 0001  Values: 1f00000000000000000000000000000000001200
17:03:45.131000 Conn: 0000 Handle: 0002  Values: 1c00000000000000000000000000000000000400
17:03:45.685000  SCAN CMD
17:03:45.841000 Conn: 0001 Handle: 0003  Values: 1f00000000000000000000000000000000000900
17:03:46.138000 Conn: 0000 Handle: 0001  Values: 1f00000000000000000000000000000000001200
17:03:46.836000 Conn: 0001 Handle: 0001  Values: 2200000000000000000000000000000000001400
17:03:47.133000 Conn: 0000 Handle: 0003  Values: 1f00000000000000000000000000000000000900
17:03:47.841000 Conn: 0001 Handle: 0003  Values: 2200000000000000000000000000000000000a00
17:03:48.134000 Conn: 0000 Handle: 0001  Values: 2200000000000000000000000000000000001400
17:03:48.842000 Conn: 0001 Handle: 0001  Values: 2600000000000000000000000000000000001600
17:03:49.137000 Conn: 0000 Handle: 0003  Values: 2200000000000000000000000000000000000a00
17:03:49.841000 Conn: 0001 Handle: 0002  Values: 2600000000000000000000000000000000000500
17:03:50.132000 Conn: 0000 Handle: 0001  Values: 2600000000000000000000000000000000001600
17:03:50.838000 Conn: 0001 Handle: 0003  Values: 2600000000000000000000000000000000000b00
17:03:51.129000 Conn: 0000 Handle: 0002  Values: 2600000000000000000000000000000000000500
17:03:51.841000 Conn: 0001 Handle: 0001  Values: 2900000000000000000000000000000000001800
17:03:52.133000 Conn: 0000 Handle: 0003  Values: 2600000000000000000000000000000000000b00
17:03:52.837000 Conn: 0001 Handle: 0003  Values: 2900000000000000000000000000000000000c00
17:03:53.139000 Conn: 0000 Handle: 0001  Values: 2b00000000000000000000000000000000001900
17:03:53.839000 Conn: 0001 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
17:03:54.134000 Conn: 0000 Handle: 0003  Values: 2b00000000000000000000000000000000000d00
17:03:54.842000 Conn: 0001 Handle: 0002  Values: 2d00000000000000000000000000000000000600
17:03:55.135000 Conn: 0000 Handle: 0005  Values: 2d00000000000000000000000000000000000a00
17:03:55.740000  SCAN CMD
17:03:55.845000 Conn: 0001 Handle: 0003  Values: 2d00000000000000000000000000000000000d00
17:03:56.137000 Conn: 0000 Handle: 0001  Values: 2d00000000000000000000000000000000001a00
17:03:56.838000 Conn: 0001 Handle: 0001  Values: 3000000000000000000000000000000000001c00
17:03:57.131000 Conn: 0000 Handle: 0001  Values: 3000000000000000000000000000000000001c00
17:03:57.841000 Conn: 0001 Handle: 0003  Values: 3000000000000000000000000000000000000e00
17:03:58.131000 Conn: 0000 Handle: 0003  Values: 3000000000000000000000000000000000000e00
17:03:58.837000 Conn: 0001 Handle: 0001  Values: 3300000000000000000000000000000000001e00
17:03:59.132000 Conn: 0000 Handle: 0001  Values: 3300000000000000000000000000000000001e00
17:03:59.839000 Conn: 0001 Handle: 0003  Values: 3300000000000000000000000000000000000f00
17:04:00.133000 Conn: 0000 Handle: 0003  Values: 3300000000000000000000000000000000000f00
17:04:00.837000 Conn: 0001 Handle: 0001  Values: 3700000000000000000000000000000000002000
17:04:01.139000 Conn: 0000 Handle: 0001  Values: 3700000000000000000000000000000000002000
17:04:01.836000 Conn: 0001 Handle: 0002  Values: 3700000000000000000000000000000000000700
17:04:02.136000 Conn: 0000 Handle: 0002  Values: 3700000000000000000000000000000000000700
17:04:02.844000 Conn: 0001 Handle: 0001  Values: 3a00000000000000000000000000000000002200
17:04:03.138000 Conn: 0000 Handle: 0001  Values: 3c00000000000000000000000000000000002300
17:04:03.843000 Conn: 0001 Handle: 0003  Values: 3a00000000000000000000000000000000001100
