Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink16:51:44.174000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
16:51:44.733000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
16:51:44.834000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
16:51:44.937000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
16:51:45.489000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
16:51:45.592000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
16:51:45.690000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
16:51:46.198000  SCAN CMD
16:51:46.633000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
16:51:47.394000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
16:51:47.495000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
16:51:51.033000 Conn: 0000 Handle: 0005  Values: 0b00000000000000000000000000000000000a00
16:51:51.392000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
16:51:52.040000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
16:51:52.390000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
16:51:53.037000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
16:51:53.397000 Conn: 0001 Handle: 0003  Values: 0b00000000000000000000000000000000000300
16:51:54.040000 Conn: 0000 Handle: 0003  Values: 0b00000000000000000000000000000000000300
16:51:54.389000 Conn: 0001 Handle: 0001  Values: 0d00000000000000000000000000000000000700
16:51:55.040000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
16:51:55.392000 Conn: 0001 Handle: 0003  Values: 0d00000000000000000000000000000000000400
16:51:56.037000 Conn: 0000 Handle: 0003  Values: 0e00000000000000000000000000000000000400
16:51:56.221000  SCAN CMD
16:51:56.393000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
16:51:57.043000 Conn: 0000 Handle: 0001  Values: 1100000000000000000000000000000000000a00
16:51:58.043000 Conn: 0000 Handle: 0003  Values: 1100000000000000000000000000000000000500
16:51:58.394000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
16:51:59.040000 Conn: 0000 Handle: 0001  Values: 1500000000000000000000000000000000000c00
