Rate MEI_EIMA_NPEDF IOS_IOS_Table MEI_EIMA_Table MEI_EIMA_Polling MEI_EIMA_EIF 
40 370.091 159.323 367.211 366.65 369.062 
80 347.981 157.888 359.912 352.174 349.458 
120 316.467 154.845 319.549 313.321 317.121 
160 299.689 152.776 297.928 294.008 300.343 
200 290.737 150.728 293.275 290.553 291.105 
240 266.914 147.923 256.625 256.097 266.912 
280 236.122 143.422 227.409 229.457 236.121 
320 234.097 142.334 225.791 227.614 234.1 
360 210.78 138.547 199.292 201.667 210.787 
400 209.873 137.544 201.307 203.171 209.877 
440 184.56 133.934 176.265 178.156 184.56 
480 187.603 133.624 180.084 181.7 187.603 
