Rate MEI_EIMA_NPEDF IOS_IOS_Table MEI_EIMA_Table MEI_EIMA_Polling MEI_EIMA_EIF 
40 0.751106 1 0.402069 0.510571 0.90702 
80 0.817667 1 0.420324 0.547973 0.899465 
120 0.893827 1 0.488759 0.540302 0.948536 
160 0.938564 1 0.531912 0.689505 0.950802 
200 0.937075 1 0.511363 0.65017 0.96049 
240 0.981209 1 0.62643 0.738716 0.981285 
280 0.98571 1 0.751888 0.81485 0.990006 
320 0.997844 1 0.727147 0.822277 0.997844 
360 0.993198 1 0.819906 0.827505 0.993198 
400 0.98785 1 0.833398 0.828891 0.98785 
440 0.995937 1 0.873554 0.810416 0.995937 
480 0.99396 1 0.858852 0.75393 0.99396 
