IOS_IOS_Table
,SetAmount_MeetRatio,Missratio_perset,Meetratio_perset,MissLatency_perpkt,MeetLatency_perpkt,Lifetime,AverageEnergy
40,1,0,1,0,19.0796,159.323,0.336656
80,1,0,1,0,20.2208,157.888,0.340312
120,1,0,1,0,21.8703,154.845,0.346662
160,1,0,1,0,22.8342,152.776,0.351363
200,1,0,1,0,23.0244,150.728,0.356736
240,1,0,1,0,31.1607,147.923,0.363065
280,1,0,1,0,33.5616,143.422,0.374878
320,1,0,1,0,35.2923,142.334,0.376954
360,1,0,1,0,41.5121,138.547,0.388333
400,1,0,1,0,41.1976,137.544,0.391245
440,1,0,1,0,56.3192,133.934,0.401407
480,1,0,1,0,58.2093,133.624,0.403177
520,1,0,1,0,64.1515,130.682,0.412004
560,1,0,1,0,70.4456,128.682,0.419211
600,1,0,1,0,71.6188,127.745,0.42189
640,1,0,1,0,77.3088,125.741,0.427724
680,1,0,1,0,87.7807,122.101,0.439131
720,1,0,1,0,89.5418,121.594,0.44313
760,1,0,1,0,94.275,119.576,0.451593
800,1,0,1,0,91.5967,119.333,0.451885
840,0.98,0.00233427,0.997666,2.06,110.158,114.302,0.46569
880,0.98,0.00234768,0.997652,2.06,117.74,114.078,0.471049
920,0.99,0.00117647,0.998824,1.03,121.567,113.819,0.474771
960,0.99,0.00122699,0.998773,1.03,120.999,113.355,0.476994
MEI_EIMA_EIF
,SetAmount_MeetRatio,Missratio_perset,Meetratio_perset,MissLatency_perpkt,MeetLatency_perpkt,Lifetime,AverageEnergy
40,0.11,0.0929797,0.90702,313.169,149.301,369.062,0.145051
80,0.09,0.100535,0.899465,239.676,147.372,349.458,0.150293
120,0.31,0.0514638,0.948536,161.881,122.378,317.121,0.166906
160,0.45,0.0491983,0.950802,104.277,113.634,300.343,0.175461
200,0.49,0.03951,0.96049,102.152,118.18,291.105,0.181117
240,0.45,0.0187152,0.981285,201.484,123.206,266.912,0.199825
280,0.6,0.00999358,0.990006,188.427,110.384,236.121,0.226468
320,0.74,0.00215603,0.997844,54.2155,110.536,234.1,0.227742
360,0.64,0.00680243,0.993198,190.548,113.526,210.787,0.253533
400,0.63,0.0121504,0.98785,190.111,116.937,209.877,0.254855
440,0.72,0.00406329,0.995937,44.8742,124.558,184.56,0.289998
480,0.71,0.00604008,0.99396,57.8917,132.883,187.603,0.286032
520,0.59,0.00841373,0.991586,222,129.837,172.297,0.309635
560,0.59,0.00984725,0.990153,218.941,132.503,165.056,0.326631
600,0.57,0.0131677,0.986832,230.439,134.737,164.019,0.328509
640,0.51,0.00935047,0.99065,254.786,137.108,156.629,0.34254
680,0.37,0.0158849,0.984115,393.762,134.763,142.661,0.376534
720,0.65,0.00846743,0.991533,145.843,130.812,139.784,0.385489
760,0.64,0.00620831,0.993792,156.395,131.307,134.092,0.403233
800,0.49,0.00932221,0.990678,237.263,132.068,134.558,0.401833
840,0.57,0.00682979,0.99317,262.873,133.003,121.068,0.441173
880,0.53,0.00641278,0.993587,308.907,138.765,119.457,0.450689
920,0.66,0.0085277,0.991472,191.695,140.113,117.977,0.459162
960,0.72,0.00562894,0.994371,167.105,136.778,116.055,0.466692
MEI_EIMA_NPEDF
,SetAmount_MeetRatio,Missratio_perset,Meetratio_perset,MissLatency_perpkt,MeetLatency_perpkt,Lifetime,AverageEnergy
40,0.05,0.248894,0.751106,299.454,182.606,370.091,0.14432
80,0.07,0.182333,0.817667,251.206,157.895,347.981,0.15015
120,0.28,0.106173,0.893827,183.811,134.012,316.467,0.166972
160,0.43,0.061436,0.938564,109.783,113.638,299.689,0.175601
200,0.44,0.0629255,0.937075,112.206,121.328,290.737,0.181206
240,0.45,0.0187914,0.981209,199.169,123.216,266.914,0.199822
280,0.6,0.0142899,0.98571,182.097,110.845,236.122,0.22647
320,0.74,0.00215603,0.997844,54.2155,110.537,234.097,0.227743
360,0.64,0.00680243,0.993198,190.532,113.532,210.78,0.253536
400,0.63,0.0121504,0.98785,190.111,116.941,209.873,0.254856
440,0.72,0.00406329,0.995937,44.8742,124.558,184.56,0.289998
480,0.71,0.00604008,0.99396,57.8917,132.883,187.603,0.286032
520,0.59,0.00841373,0.991586,222,129.837,172.297,0.309635
560,0.59,0.00984725,0.990153,218.941,132.506,165.056,0.326631
600,0.57,0.0131677,0.986832,230.439,134.737,164.019,0.328509
640,0.51,0.00935047,0.99065,254.786,137.108,156.629,0.34254
680,0.37,0.0158849,0.984115,393.762,134.763,142.661,0.376534
720,0.65,0.00846743,0.991533,145.843,130.812,139.784,0.385489
760,0.64,0.00620831,0.993792,156.395,131.307,134.092,0.403233
800,0.49,0.00932221,0.990678,237.263,132.068,134.558,0.401833
840,0.57,0.00682979,0.99317,262.873,133.003,121.068,0.441173
880,0.53,0.00641278,0.993587,308.907,138.765,119.457,0.450689
920,0.66,0.0085277,0.991472,191.695,140.113,117.977,0.459162
960,0.72,0.00562894,0.994371,167.105,136.778,116.055,0.466692
MEI_EIMA_Polling
,SetAmount_MeetRatio,Missratio_perset,Meetratio_perset,MissLatency_perpkt,MeetLatency_perpkt,Lifetime,AverageEnergy
40,0,0.489429,0.510571,1716.83,1047.7,366.65,0.144446
80,0,0.452027,0.547973,1506.24,913.989,352.174,0.148984
120,0,0.459698,0.540302,1420.5,794.592,313.321,0.168902
160,0,0.310495,0.689505,857.875,446.954,294.008,0.180009
200,0,0.34983,0.65017,1043.98,508.236,290.553,0.183848
240,0,0.261284,0.738716,1196.02,398.627,256.097,0.207779
280,0.07,0.18515,0.81485,1236.77,321.493,229.457,0.233291
320,0,0.177723,0.822277,1814.42,376.114,227.614,0.233967
360,0.01,0.172495,0.827505,2009.11,413.426,201.667,0.262253
400,0.01,0.171109,0.828891,2359.2,457.459,203.171,0.260723
440,0,0.189584,0.810416,2187.81,470.015,178.156,0.296636
480,0,0.24607,0.75393,2461.15,658.76,181.7,0.290279
520,0,0.195033,0.804967,2663.39,596.458,168.536,0.312782
560,0,0.231648,0.768352,2738.66,715.348,159.723,0.330924
600,0,0.23412,0.76588,2850.78,763.46,159.171,0.331219
640,0,0.233997,0.766003,2920.72,744.063,152.495,0.343612
680,0,0.187052,0.812948,2708.98,585.669,138.83,0.378746
720,0,0.250126,0.749874,2852.63,790.806,136.492,0.385949
760,0,0.231075,0.768925,2918.7,750.879,130.89,0.40254
800,0,0.228222,0.771778,2965.49,751.908,130.679,0.401349
840,0,0.230228,0.769772,2820.64,726.77,118.49,0.440449
880,0,0.269099,0.730901,2965,890.914,117.048,0.448874
920,0,0.245426,0.754574,2999.28,794.422,115.744,0.455282
960,0,0.268536,0.731464,3020.65,875.022,113.846,0.462523
MEI_EIMA_Table
,SetAmount_MeetRatio,Missratio_perset,Meetratio_perset,MissLatency_perpkt,MeetLatency_perpkt,Lifetime,AverageEnergy
40,0,0.597931,0.402069,2754.88,2181.22,367.211,0.141573
80,0,0.579676,0.420324,2676.88,2043.44,359.912,0.147104
120,0,0.511241,0.488759,2538.32,1690.24,319.549,0.167814
160,0.02,0.468088,0.531912,2263.58,1406.94,297.928,0.178623
200,0,0.488637,0.511363,2342.49,1482.65,293.275,0.182837
240,0.12,0.37357,0.62643,1634.76,986.855,256.625,0.207153
280,0.34,0.248112,0.751888,1029.47,651.43,227.409,0.234018
320,0.32,0.272853,0.727147,1038.57,625.464,225.791,0.235661
360,0.4,0.180094,0.819906,574.054,368.053,199.292,0.265935
400,0.45,0.166602,0.833398,528.379,368.451,201.307,0.265753
440,0.51,0.126446,0.873554,225.663,216.491,176.265,0.300974
480,0.5,0.141148,0.858852,297.519,271.25,180.084,0.296226
520,0.6,0.0529229,0.947077,117.867,158.513,166.004,0.320581
560,0.73,0.066713,0.933287,97.0374,170.249,158.035,0.339624
600,0.57,0.0733062,0.926694,118.733,166.934,157.428,0.342106
640,0.72,0.0456922,0.954308,87.4294,159.299,151.291,0.354071
680,0.77,0.0242162,0.975784,47.3065,137.385,137.583,0.38824
720,0.74,0.0169032,0.983097,41.1599,129.132,135.234,0.397559
760,0.82,0.00759368,0.992406,31.8448,128.022,130.16,0.415016
800,0.75,0.028629,0.971371,66.5712,140.488,130.386,0.413702
840,0.88,0.0113343,0.988666,27.3617,132.356,117.525,0.45284
880,0.91,0.0147517,0.985248,16.1546,136.178,116.016,0.463694
920,0.91,0.00570484,0.994295,18.1115,135.036,115.175,0.470479
960,0.94,0.0062468,0.993753,7.99828,131.84,113.429,0.477644
