Rate IOS_IOS_Table IOS_IOS_Table_400 MEI_EIMA_EIF MEI_EIMA_EIF_400 Static_LDC_Polling Static_LDC_Polling_400 
80 196.089 151.638 657.205 342.182 434.72 260.682 
120 191.286 148.83 554.296 309.983 416.427 253.535 
160 188.068 146.917 500.611 293.464 421.752 255.919 
200 184.896 145.022 481.129 284.61 384.808 242.633 
240 180.636 142.422 404.067 260.477 369.966 237.237 
280 173.815 138.246 335.138 230.221 350.215 229.595 
320 172.186 137.235 329.82 228.286 345.451 227.501 
360 166.56 133.711 281.811 205.409 329.164 219.934 
400 165.066 132.776 281.489 204.602 344.083 227.264 
440 159.797 129.409 234.212 179.624 317.157 214.378 
480 159.341 129.119 239.824 182.711 329.548 219.892 
