Rate IOS_IOS_Table IOS_IOS_Table_400 MEI_EIMA_EIF MEI_EIMA_EIF_400 Static_LDC_Polling Static_LDC_Polling_400 
80 1 1 0.899465 0.899465 0.41402 0.41402 
120 1 1 0.948536 0.948536 0.287582 0.287582 
160 1 1 0.950802 0.950802 0.27976 0.27976 
200 1 1 0.96049 0.96049 0.226333 0.226333 
240 1 1 0.981285 0.981285 0.125856 0.125856 
280 1 1 0.990006 0.990006 0.0798041 0.0798041 
320 1 1 0.997844 0.997844 0.0782263 0.0782263 
360 1 1 0.993198 0.993198 0.0254528 0.0254528 
400 1 1 0.98785 0.98785 0.0231511 0.0231511 
440 1 1 0.995937 0.995937 0.00808586 0.00808586 
480 1 1 0.99396 0.99396 0.00804632 0.00804632 
