Rate IOS_IOS_EIF IOS_IOS_Table MEI_EIMA_EIF MEI_EIMA_NPEDF MEI_EIMA_Polling MEI_EIMA_Table MEI_LDC_EIF MEI_LDC_NPEDF MEI_LDC_Polling MEI_LDC_Table MEI_Static_EIF MEI_Static_NPEDF MEI_Static_Polling MEI_Static_Table Static_LDC_Polling Static_LDC_Table Static_Static_Table 
80 196.089 196.089 657.205 657.324 664.598 697.164 426.593 427.02 432.318 460.094 423.745 423.745 430.603 423.825 434.72 465.836 423.825 
120 191.286 191.286 554.296 554.385 558.616 565.388 409.074 409.497 411.941 425.161 391.911 391.911 395.03 392.86 416.427 445.85 392.86 
160 188.068 188.068 500.611 500.565 501.788 503.084 401.501 401.785 403.031 410.407 376.979 376.979 380.381 379.117 421.752 451.359 382.849 
200 184.896 184.896 481.129 481.132 482.755 482.946 373.958 374.264 376.127 385.824 359.205 359.205 361.172 359.923 384.808 420.983 362.345 
240 180.636 180.636 404.067 404.067 405.28 404.794 343.038 343.006 344.65 346.009 328.651 328.651 330.73 330.056 369.966 416.635 349.58 
280 173.815 173.815 335.138 335.135 335.826 333.486 290.815 290.766 290.68 291.126 279.341 279.341 280.552 279.624 350.215 404.877 324.312 
320 172.186 172.186 329.82 329.82 330.908 328.424 296.382 296.341 296.332 295.786 280.087 280.087 281.313 280.09 345.451 397.883 316.633 
360 166.56 166.56 281.811 281.806 283.199 279.106 250.928 250.916 251.331 249.732 242.905 242.905 245.805 243.128 329.164 389.469 295.921 
400 165.066 165.066 281.489 281.485 283.274 280.784 252.253 252.237 252.54 250.967 243.224 243.224 245.697 243.301 344.083 410.597 310.234 
440 159.797 159.797 234.212 234.212 235.032 232.339 208.851 208.845 208.614 207.783 202.656 202.656 205.176 202.926 317.157 375.295 273.304 
480 159.341 159.341 239.824 239.824 241.771 239.698 217.773 217.77 217.737 217.749 211.366 211.366 214.368 211.512 329.548 390.656 284.294 
