Rate IOS_IOS_EIF IOS_IOS_Table MEI_EIMA_EIF MEI_EIMA_NPEDF MEI_EIMA_Polling MEI_EIMA_Table MEI_LDC_EIF MEI_LDC_NPEDF MEI_LDC_Polling MEI_LDC_Table MEI_Static_EIF MEI_Static_NPEDF MEI_Static_Polling MEI_Static_Table Static_LDC_Polling Static_LDC_Table Static_Static_Table 
80 1 1 0.899465 0.817667 0.547973 0.420324 0.636512 0.682452 0.479182 0.288296 0.998924 0.998924 0.999556 0.999609 0.41402 0.201803 0.999609 
120 1 1 0.948536 0.893827 0.540302 0.488759 0.810299 0.79137 0.504837 0.445977 0.998355 0.998355 0.966389 0.999593 0.287582 0.186647 0.999593 
160 1 1 0.950802 0.938564 0.689505 0.531912 0.8241 0.81627 0.643461 0.476476 0.9987 0.9987 0.987192 0.999813 0.27976 0.179534 0.999763 
200 1 1 0.96049 0.937075 0.65017 0.511363 0.824698 0.800069 0.598876 0.458189 0.997922 0.997922 0.992474 0.999829 0.226333 0.0713569 0.999829 
240 1 1 0.981285 0.981209 0.738716 0.62643 0.958746 0.940164 0.731533 0.59388 0.996136 0.996136 0.962839 0.999818 0.125856 0.0105453 0.998505 
280 1 1 0.990006 0.98571 0.81485 0.751888 0.946068 0.93474 0.820943 0.70538 0.996055 0.996055 0.98047 0.999882 0.0798041 0.0069263 0.977844 
320 1 1 0.997844 0.997844 0.822277 0.727147 0.974133 0.975152 0.811219 0.689072 0.99868 0.99868 0.94547 0.999912 0.0782263 0.00701277 0.983978 
360 1 1 0.993198 0.993198 0.827505 0.819906 0.986649 0.98613 0.815863 0.747227 0.993552 0.993552 0.922196 0.999788 0.0254528 0.00536496 0.809896 
400 1 1 0.98785 0.98785 0.828891 0.833398 0.983105 0.983193 0.822359 0.786759 0.993229 0.993229 0.91426 0.999648 0.0231511 0.00552813 0.769246 
440 1 1 0.995937 0.995937 0.810416 0.873554 0.986345 0.986345 0.812727 0.778484 0.996853 0.996853 0.90678 0.999262 0.00808586 0.00390991 0.641767 
480 1 1 0.99396 0.99396 0.75393 0.858852 0.978635 0.978635 0.757302 0.806367 0.994516 0.994516 0.852894 0.999552 0.00804632 0.0036942 0.560527 
